像元编号,波段1反射率,波段2反射率,波段3反射率,地物类型,高程
1,0.42,0.38,0.65,植被,120.5
2,0.51,0.45,0.72,植被,118.3
3,0.38,0.35,0.58,植被,122.1
4,0.65,0.62,0.31,建设用地,95.7
5,0.68,0.64,0.29,建设用地,93.2
6,0.22,0.2,0.15,水体,88.9
7,0.55,0.5,0.68,植被,
8,0.7,0.67,0.25,建设用地,91.5
9,0.25,0.23,0.18,水体,87.3
10,0.48,0.43,0.7,植被,125.6
11,0.62,0.59,0.33,建设用地,97.1
12,0.2,0.18,0.12,水体,89.5
13,0.53,0.49,0.69,植被,121.8
14,,0.55,0.3,建设用地,94.6
15,0.23,0.21,0.16,水体,86.8
16,0.46,0.41,0.67,植被,123.4
17,0.66,0.63,0.28,建设用地,92.8
18,0.24,0.22,0.17,水体,88.2
19,0.5,0.46,0.71,植被,119.7
20,0.64,0.61,0.32,建设用地,96.4
